Country Name,Country Code,Series Name,Series Code,YR2023
Bangladesh,BGD,"Population ages 15-64, female",SP.POP.1564.FE.IN,59912008
Bangladesh,BGD,"Population ages 15-64, male",SP.POP.1564.MA.IN,58052390
Bangladesh,BGD,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,5099765
Bangladesh,BGD,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,5737481
Bangladesh,BGD,"Population ages 80 and above, female",SP.POP.80UP.FE,896189
Bangladesh,BGD,"Population ages 80 and above, male",SP.POP.80UP.MA,700954
Bangladesh,BGD,"Population, female",SP.POP.TOTL.FE.IN,87282086
Bangladesh,BGD,"Population, male",SP.POP.TOTL.MA.IN,85672234
Bangladesh,BGD,"Population, total",SP.POP.TOTL,172954319
Bangladesh,BGD,Urban population,SP.URB.TOTL,69999802
Barbados,BRB,"Population ages 0-14, female",SP.POP.0014.FE.IN,23040
Barbados,BRB,"Population ages 0-14, male",SP.POP.0014.MA.IN,23836
Barbados,BRB,"Population ages 15-64, female",SP.POP.1564.FE.IN,96741
Barbados,BRB,"Population ages 15-64, male",SP.POP.1564.MA.IN,90963
Barbados,BRB,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,20487
Barbados,BRB,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,26929
Barbados,BRB,"Population ages 80 and above, female",SP.POP.80UP.FE,5368
Barbados,BRB,"Population ages 80 and above, male",SP.POP.80UP.MA,3336
Barbados,BRB,"Population, female",SP.POP.TOTL.FE.IN,146710
Barbados,BRB,"Population, male",SP.POP.TOTL.MA.IN,135285
Barbados,BRB,"Population, total",SP.POP.TOTL,281995
Barbados,BRB,Urban population,SP.URB.TOTL,88617
Belarus,BLR,"Population ages 0-14, female",SP.POP.0014.FE.IN,747070
Belarus,BLR,"Population ages 0-14, male",SP.POP.0014.MA.IN,781118
Belarus,BLR,"Population ages 15-64, female",SP.POP.1564.FE.IN,3142645
Belarus,BLR,"Population ages 15-64, male",SP.POP.1564.MA.IN,2894148
Belarus,BLR,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,551861
Belarus,BLR,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,1070213
